SSBSECT_SUBJ_CODE,SSBSECT_CRSE_NUMB,SSBSECT_TERM_CODE,SSBSECT_CRN,SSRATTR_TERM_CODE,SSRATTR_CRN,SSRATTR_ATTR_CODE,SSRATTR_ACTIVITY_DATE
ARC,103,202110,10056,202110,10056,MOIB,2020/01/30
ARC,103,202110,10056,202110,10056,MOIE,2020/01/30
ARC,103,202110,10058,202110,10058,A7,2020/01/30
ARC,103,202110,10058,202110,10058,CC,2020/01/30
ARC,103,202110,10058,202110,10058,MOIB,2020/01/30
ARC,103,202110,10058,202110,10058,MOIE,2020/01/30
ARC,205,202110,10649,202110,10649,MOD2,2020/10/29
ARC,205,202110,10649,202110,10649,MOIB,2020/10/28
ARC,205,202110,10649,202110,10649,MOIE,2020/10/28
ARC,225,202110,10066,202110,10066,MOIE,2020/06/09
ARC,225,202110,10066,202110,10066,W,2020/06/09
ARC,342,202110,10072,202110,10072,MOIA,2020/01/30
ARC,342,202110,10072,202110,10072,RMOT,2020/10/29
ART,101,202110,10240,202110,10240,A5,2020/02/17
ART,101,202110,10240,202110,10240,MOIA,2020/02/17
ART,101,202110,10240,202110,10240,RMOT,2020/11/08
ART,103,202110,10241,202110,10241,MOIA,2020/06/19
ART,104,202110,10242,202110,10242,A5,2020/02/17
ART,104,202110,10242,202110,10242,CC,2020/02/17
ART,104,202110,10242,202110,10242,MOIA,2020/02/17
ART,106,202110,10244,202110,10244,A5,2020/02/17
ART,106,202110,10244,202110,10244,CC,2020/02/17
ART,106,202110,10244,202110,10244,MOIA,2020/02/17
ART,200A,202110,10245,202110,10245,MOIA,2020/06/19
ART,200B,202110,10700,202110,10700,MOIA,2020/11/02
ART,200B,202110,10700,202110,10700,RMOT,2020/11/08
ART,204,202110,10246,202110,10246,RMOT,2020/11/08
ART,205,202110,10247,202110,10247,A5,2020/02/17
ART,205,202110,10247,202110,10247,MOIA,2020/02/17
ART,206,202110,10816,202110,10816,MOIA,2020/11/05
ART,206,202110,10816,202110,10816,RMOT,2020/11/05
ART,207,202110,10248,202110,10248,MOIA,2020/02/17
ART,209,202110,10249,202110,10249,MOIA,2020/02/17
ART,209,202110,10249,202110,10249,RMOT,2020/11/08
ART,210,202110,10250,202110,10250,CC,2020/02/17
ART,210,202110,10250,202110,10250,MOIA,2020/02/17
ART,210,202110,10250,202110,10250,RMOT,2020/11/08
ART,214,202110,10252,202110,10252,RMOT,2020/11/08
ART,217,202110,10256,202110,10256,MOIA,2020/11/05
ART,222D,202110,10763,202110,10763,MOIA,2020/11/03
ART,251,202110,10817,202110,10817,MOIA,2020/11/05
ART,300,202110,10762,202110,10762,MOIA,2020/11/05
ART,300,202110,10762,202110,10762,RMOT,2020/11/08
ART,342,202110,10073,202110,10073,MOIA,2020/01/30
ART,342,202110,10073,202110,10073,RMOT,2020/11/04
ART,450A,202110,10263,202110,10263,FREE,2020/02/17
ART,450B,202110,10265,202110,10265,FREE,2020/02/17
ART,450C,202110,10266,202110,10266,FREE,2020/02/17
ART,450D,202110,10267,202110,10267,FREE,2020/02/17
ART,450E,202110,10268,202110,10268,FREE,2020/02/17
ART,450G,202110,10270,202110,10270,FREE,2020/02/17
ASL,101,202110,10006,202110,10006,AASL,2020/10/28
ASL,101,202110,10006,202110,10006,WLC,2020/06/22
AST,110,202110,10102,202110,10102,A1,2020/02/06
AST,110,202110,10102,202110,10102,MOID,2020/02/06
AST,110,202110,10665,202110,10665,A1,2020/10/30
AST,110,202110,10665,202110,10665,MOID,2020/10/30
AST,201,202110,10103,202110,10103,MOID,2020/02/06
AST,201,202110,10103,202110,10103,RMOT,2020/10/30
AT,104,202110,10243,202110,10243,A5,2020/02/17
AT,104,202110,10243,202110,10243,CC,2020/02/17
AT,104,202110,10243,202110,10243,MOIA,2020/02/17
AT,209,202110,10251,202110,10251,MOIA,2020/02/17
AT,209,202110,10251,202110,10251,RMOT,2020/11/08
AT,214,202110,10253,202110,10253,RMOT,2020/11/08
AT,217,202110,10663,202110,10663,MOIA,2020/10/30
AT,217,202110,10663,202110,10663,MOIC,2020/10/30
AT,217,202110,10663,202110,10663,RMOT,2020/11/08
AT,225,202110,10067,202110,10067,A7,2020/01/30
AT,225,202110,10067,202110,10067,MOIE,2020/06/09
AT,225,202110,10067,202110,10067,W,2020/01/30
AT,304,202110,10344,202110,10344,MOIA,2020/03/30
AT,304,202110,10344,202110,10344,MOIB,2020/03/30
AT,312,202110,10220,202110,10220,RMOT,2020/11/08
AT,402,202110,10539,202110,10539,RMOT,2020/11/08
BIO,120C,202110,10158,202110,10158,MOID,2020/02/13
BIO,120D,202110,10159,202110,10159,MOID,2020/02/13
BIO,120D,202110,10159,202110,10159,RMOT,2020/11/08
BIO,120G,202110,10160,202110,10160,MOID,2020/02/13
BIO,120H,202110,10774,202110,10774,MOID,2020/11/03
BIO,120H,202110,10774,202110,10774,RMOT,2020/11/08
BIO,202,202110,10161,202110,10161,RMOT,2020/11/08
BIO,202,202110,10161,202110,10161,W,2020/02/13
BIO,202L,202110,10162,202110,10162,RMOT,2020/11/08
BIO,202L,202110,10163,202110,10163,RMOT,2020/11/08
BIO,203,202110,10164,202110,10164,MOIC,2020/02/13
BIO,203,202110,10164,202110,10164,RMOT,2020/11/08
BIO,209,202110,10166,202110,10166,MOID,2020/02/13
BIO,210,202110,10169,202110,10169,MOID,2020/02/13
BIO,214,202110,10172,202110,10172,RMOT,2020/11/08
BIO,235,202110,10769,202110,10769,MOIC,2020/11/03
BIO,235,202110,10769,202110,10769,MOID,2020/11/03
BIO,301,202110,10841,202110,10841,MOID,2020/11/05
BIO,302,202110,10174,202110,10174,W,2020/02/13
BIO,316,202110,10176,202110,10176,MOID,2020/02/13
BIO,322,202110,10177,202110,10177,RMOT,2020/11/08
BIO,322,202110,10177,202110,10177,W,2020/02/13
BIO,330,202110,10178,202110,10178,RMOT,2020/11/08
