Dept,#,Sec,Term Part,CRN,TITLE,Approval Required,Cross Listed,Max Enroll,Actual Enroll,Faculty,Credits,Days1,Time1,Loc1,Days2,Time2,Loc2,Days3,Time3,Loc3,Notes
AHI,104,2,3,10644,INTRODUCTION TO ASIAN ART,,Y,24,0,Di Luo,4,MT RF,1200-1315,,,-,,,-,,.
AHI,105,1,2,10059,CC: MONA LISA TO INSTAGRAM,,,24,0,Karen Gonzalez Rice,4,W,0830-1130,REMOTE,S,1015-1315,REMOTE,,-,,.
AHI,105,2,3,10646,CC: MONA LISA TO INSTAGRAM,,,24,0,Karen Gonzalez Rice,4,W,0830-1130,REMOTE,S,1015-1315,REMOTE,,-,,.
AHI,105F,1,1,10060,ART IN ASL,,,18,0,. To Be Assigned,1,,-,REMOTE,,-,,,-,,.
AHI,110,1,1,10647,DREAMS AND VISIONS,,,28,0,Robert Baldwin,4,M R,1015-1130,REMOTE,,-,,,-,,.
AHI,205,1,3,10648,JAPANESE ART & ARCHITECTURE,,Y,20,0,Di Luo,4,MT RF,1345-1500,,,-,,,-,,.
AHI,206,1,1,10061,INTRODUCTION TO AFRICAN ART,,Y,35,0,Christopher Steiner,4,T F,1530-1645,REMOTE,,-,,,-,,.
AHI,227,1,1,10651,FRENCH REVOLUTION/ROMANTICISM,,,28,0,Robert Baldwin,4,M W,1715-1830,REMOTE,,-,,,-,,.
AHI,232,1,1,10652,HIGH RENAISSANCE ART IN ITALY,,,35,0,Robert Baldwin,4,T R,1715-1830,REMOTE,,-,,,-,,.
AHI,283,1,1,10068,MUSEUM EDUCATION,,,25,0,David Rau,4,W,1345-1645,REMOTE,,-,,,-,,.
AHI,413,1,1,10070,ISLAMIC ART: WORD AND IMAGE,,,16,0,Joseph Alchermes,4,R,1345-1645,REMOTE,,-,,,-,,.
AHI,496,1,1,10071,MUSEUM STUDIES SENIOR PROJECT,Y,,16,0,Christopher Steiner,4,S,1345-1645,REMOTE,,-,,,-,,.
AT,104,1,1,10243,CC:TIME-BASED DIGITAL ART,,Y,16,0,Nadav Assor,4,M,1530-1830,,W,1530-1645,,,-,,.
AT,201,1,1,10540,HIST OF ARTS & TECHNOLOGY,,,15,0,Rachel Boggia,4,W,1345-1500,,M,1715-1830,,,-,,.
AT,209,1,1,10251,DESIGNING VISUAL INFORMATION,,Y,16,0,Andrea Wollensak,4,M R,1530-1645,REMOTE,,-,,,-,,.
AT,214,1,1,10253,VIDEO INSTALLATION,,Y,12,0,. To Be Assigned,4,W,0830-0945,REMOTE,W,1015-1130,REMOTE,,-,,.
AT,215,1,1,10255,3D:SCAN/MODEL/ANIMATE/PRINT,,Y,8,0,Nadav Assor,4,T F,1015-1315,,,-,,,-,,.
AT,217,1,1,10663,ENTERTAINMENT SOFTWARE DESIGN,,Y,18,0,S. James Lee,4,M R,1015-1130,REMOTE,,-,,,-,,.
AT,304,1,1,10344,THE ELECTRONIC MUSICIAN,,Y,15,0,Andrew Greenwald,4,T F,1345-1500,,,-,,,-,,.
AT,312,1,1,10220,DIGITAL SOUND PROCESSING,,Y,18,0,Ozgur Izmirli,4,M R,1530-1645,REMOTE,,-,,,-,,.
AT,402,1,1,10539,AMMERMAN SENIOR SEMINAR,,,16,0,Stephen Luber,2,M,1715-1830,REMOTE,,-,,,-,,.
